ID,Lat,Long,FirstName,LastName,DOB,Type,Priority
1,713,416,Jack,Smith,1/12/1984,Affected,2
2,713,416,John,Edwards,5/5/1998,Affected,3
3,806,102,Samantha,Rogers,12/3/1975,Affected,2
4,806,102,Michael,Split,29/02/1972,Affected,1
5,929,60,Boris,Dragunov,9/3/1965,Affected,4
6,674,149,Jessica,Jones,25/10/1983,Affected,2
7,684,342,Beyonce,Knowles-Carter,4/10/1981,Affected,1
8,696,202,Louise,Richards,7/6/1971,Affected,1
9,488,541,Betty,Sharp,30/5/1953,Affected,2
10,929,60,Eckleton,Richards,9/8/1960,Vulnerable,5
11,696,202,Barry,Lightfoot,7/11/1993,Vulnerable,6
12,488,541,Stuart,Dingleberry,23/1/1949,Vulnerable,5
13,428,624,Prianka,Dillon,22/7/1981,Vulnerable,4
14,684,342,Maria,James,19/10/1986,Vulnerable,5
15,650,195,Andrew,Jones,8/1/1984,Vulnerable,5
16,792,591,Mohamed,Nasheed,9/9/1952,Vulnerable,6
17,650,195,Ming ,Xi,7/8/1964,Vulnerable,4
18,625,63,Ash ,Ketchum,7/3/1969,Injured,9
19,696,202,Luke,Skywalker,6/9/1958,Injured,10
20,684,342,Thanos,Titan,6/5/1955,Injured,8
21,678,260,Naruto,Uzumaki,3/12/1987,Injured,7
22,663,111,Millie,Donovan,12/12/1999,Vulnerable,5
23,663,111,Robert,Tyler,3/1/1952,Affected,1
24,797,12,Jason,Bourne,3/5/1991,Affected,2
25,707,172,Kurt,Johnson,9/11/1978,Affected,3
26,1218,124,Juan,Pedro,19/09/1983,Vulnerable,6
27,1218,124,Pedro,Juan,31/12/1966,Injured,9
28,490,679,Alice,Jackson,7/5/1989,Affected,4
29,409,525,Samantha,Grant,8/8/1956,Vulnerable,7
30,409,525,Joey,Tribiani,17/5/1983,Affected,1
31,410,152,Chandler,Bing,14/01/1996,Vulnerable,5
32,985,376,Monica,Geller,16/7/1964,Affected,1
33,985,376,Ross,Geller,24/03/1987,Vulnerable,6
34,603,495,Ursula,Buffay,5/5/1994,Affected,2
35,1110,368,David,Crane,2/12/1975,Vulnerable,4
36,1061,216,Phoebe,Buffay,6/11/1940,Injured,10
37,777,418,Tom,Telleck,7/11/1982,Affected,2
38,822,308,Martha,Kauffman,29/6/1953,Vulnerable,6
39,832,131,Paul,Rudd,9/7/1998,Vulnerable,5
40,801,64,Rachel ,Green,12/5/1956,Injured,8
41,577,568,Emilia,Bocanet,1/1/1999,Vulnerable,5
